SC Transit Center, ECR & Cali, Bus route
          12:16AM,    12:56AM,        22
          01:01AM,    01:40AM,        22
          01:29AM,    02:08AM,        22
          01:58AM,    02:37AM,        22
          03:01AM,    03:37AM,        22
          03:57AM,    04:35AM,        22
          04:53AM,    05:33AM,        22
          05:47AM,    06:31AM,        22
          06:04AM,    06:49AM,        22
          06:25AM,    07:11AM,        22
          06:42AM,    07:29AM,        22
          06:57AM,    07:44AM,        22
          07:12AM,    08:01AM,        22
          07:27AM,    08:19AM,        22
          07:42AM,    08:34AM,        22
          07:57AM,    08:51AM,        22
          08:14AM,    09:10AM,        22
          08:29AM,    09:26AM,        22
          08:42AM,    09:25AM,       522
          08:44AM,    09:43AM,        22
          09:00AM,    10:00AM,        22
          09:03AM,    09:48AM,       522
          09:15AM,    10:15AM,        22
          09:18AM,    10:04AM,       522
          09:30AM,    10:33AM,        22
          09:36AM,    10:23AM,       522
          09:45AM,    10:48AM,        22
          09:51AM,    10:38AM,       522
          10:00AM,    11:03AM,        22
          10:08AM,    10:57AM,       522
          10:16AM,    11:20AM,        22
          10:21AM,    11:11AM,       522
          10:31AM,    11:35AM,        22
          10:34AM,    11:24AM,       522
          10:46AM,    11:51AM,        22
          10:48AM,    11:38AM,       522
          11:01AM,    12:06PM,        22
          11:03AM,    11:53AM,       522
          11:16AM,    12:22PM,        22
          11:20AM,    12:10PM,       522
          11:31AM,    12:37PM,        22
          11:35AM,    12:25PM,       522
          11:46AM,    12:53PM,        22
          11:50AM,    12:40PM,       522
          12:01PM,    01:08PM,        22
          12:08PM,    01:00PM,       522
          12:16PM,    01:24PM,        22
          12:23PM,    01:16PM,       522
          12:30PM,    01:39PM,        22
          12:37PM,    01:32PM,       522
          12:45PM,    01:54PM,        22
          12:53PM,    01:49PM,       522
          01:00PM,    02:09PM,        22
          01:10PM,    02:05PM,       522
          01:15PM,    02:24PM,        22
          01:26PM,    02:19PM,       522
          01:30PM,    02:39PM,        22
          01:42PM,    02:35PM,       522
          01:45PM,    02:54PM,        22
          01:58PM,    02:51PM,       522
          02:00PM,    03:09PM,        22
          02:14PM,    03:07PM,       522
          02:15PM,    03:24PM,        22
          02:30PM,    03:24PM,       522
          02:30PM,    03:39PM,        22
          02:46PM,    03:39PM,       522
          02:46PM,    03:55PM,        22
          03:00PM,    03:52PM,       522
          03:01PM,    04:09PM,        22
          03:16PM,    04:07PM,       522
          03:16PM,    04:24PM,        22
          03:31PM,    04:38PM,        22
          03:32PM,    04:21PM,       522
          03:46PM,    04:52PM,        22
          03:48PM,    04:37PM,       522
          04:01PM,    05:05PM,        22
          04:04PM,    04:53PM,       522
          04:16PM,    05:20PM,        22
          04:19PM,    05:08PM,       522
          04:31PM,    05:35PM,        22
          04:35PM,    05:24PM,       522
          04:46PM,    05:50PM,        22
          04:51PM,    05:39PM,       522
          05:01PM,    06:04PM,        22
          05:06PM,    05:54PM,       522
          05:16PM,    06:16PM,        22
          05:21PM,    06:08PM,       522
          05:31PM,    06:31PM,        22
          05:37PM,    06:24PM,       522
          05:46PM,    06:46PM,        22
          05:53PM,    06:40PM,       522
          06:01PM,    07:01PM,        22
          06:08PM,    06:57PM,       522
          06:16PM,    07:16PM,        22
          06:26PM,    07:16PM,       522
          06:31PM,    07:31PM,        22
          06:46PM,    07:36PM,       522
          06:46PM,    07:45PM,        22
          07:01PM,    08:00PM,        22
          07:04PM,    07:54PM,       522
          07:16PM,    08:14PM,        22
          07:24PM,    08:14PM,       522
          07:31PM,    08:29PM,        22
          07:45PM,    08:35PM,       522
          07:47PM,    08:41PM,        22
          08:03PM,    08:57PM,        22
          08:05PM,    08:53PM,       522
          08:21PM,    09:15PM,        22
          08:27PM,    09:14PM,       522
          08:40PM,    09:33PM,        22
          08:57PM,    09:44PM,       522
          09:02PM,    09:55PM,        22
          09:24PM,    10:15PM,        22
          09:26PM,    10:10PM,       522
          09:47PM,    10:38PM,        22
          09:56PM,    10:37PM,       522
          10:16PM,    11:05PM,        22
          10:26PM,    11:06PM,       522
          10:46PM,    11:34PM,        22
          11:15PM,    12:00AM,        22
          11:44PM,    12:25AM,        22
