Camp & Win, Wolfe & ECR, Bus route
   05:56AM,     06:19AM,        26
   06:23AM,     06:49AM,        26
   06:48AM,     07:17AM,        26
   07:11AM,     07:45AM,        26
   07:37AM,     08:14AM,        26
   08:09AM,     08:46AM,        26
   08:41AM,     09:16AM,        26
   09:10AM,     09:44AM,        26
   09:43AM,     10:15AM,        26
   10:14AM,     10:45AM,        26
   10:44AM,     11:15AM,        26
   11:12AM,     11:44AM,        26
   11:42AM,     12:14PM,        26
   12:12PM,     12:45PM,        26
   12:42PM,     01:15PM,        26
   01:13PM,     01:46PM,        26
   01:43PM,     02:16PM,        26
   02:12PM,     02:47PM,        26
   02:40PM,     03:17PM,        26
   03:10PM,     03:46PM,        26
   03:41PM,     04:16PM,        26
   04:11PM,     04:45PM,        26
   04:40PM,     05:14PM,        26
   05:08PM,     05:44PM,        26
   05:39PM,     06:15PM,        26
   06:13PM,     06:47PM,        26
   06:40PM,     07:13PM,        26
   07:13PM,     07:44PM,        26
   07:45PM,     08:14PM,        26
   08:18PM,     08:45PM,        26
   08:50PM,     09:15PM,        26
   09:51PM,     10:16PM,        26
   11:15PM,     11:37PM,        26
